Unnamed: 0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet
49,Clermont-Ferrand,63254,Nohanent,10.7,6.3,27570.0,5.7,535.48,7.3,18.3,0,0,210,7.5,16.3
50,Clermont-Ferrand,63263,Orcines,9.6,8.7,29370.0,4.6,83.51,8.7,18.5,0,0,210,9.16,17.78
51,Clermont-Ferrand,63272,Pérignat-lès-Sarliève,11.2,15.6,28530.0,5.6,718.21,10.8,30.1,0,0,210,8.92,12.05
52,Clermont-Ferrand,63063,Cébazat,11.7,6.3,23990.0,5.5,894.6,9.2,74.5,0,0,210,6.38,12.95
53,Clermont-Ferrand,63307,Romagnat,10.4,7.0,25430.0,6.3,468.39,9.2,48.6,0,0,210,11.66,13.94
54,Clermont-Ferrand,63308,Royat,11.6,22.8,27950.0,7.0,667.12,13.9,76.0,0,0,210,6.89,15.76
55,Clermont-Ferrand,63345,Saint-Genès-Champanelle,10.3,8.9,27550.0,4.2,75.25,7.9,17.3,0,0,210,16.62,29.31
56,Clermont-Ferrand,63284,Pont-du-Château,9.8,6.5,24120.0,6.6,576.81,9.9,49.2,0,0,210,12.17,13.68
57,Clermont-Ferrand,63124,Cournon-d'Auvergne,11.8,5.0,23720.0,6.1,1085.65,9.4,77.7,0,0,210,13.55,18.83
58,Dijon,21105,Bressey-sur-Tille,11.4,2.1,24950.0,5.9,153.7,8.0,55.5,0,0,100,15.38,20.23
59,Dijon,21106,Bretenière,10,2.5,25070.0,6.1,152.0,7.9,9.0,0,0,100,13.28,19.03
60,Dijon,21171,Chevigny-Saint-Sauveur,12.7,3.6,23490.0,8.9,904.46,11.6,45.5,0,0,100,11.12,14.48
61,Dijon,21192,Corcelles-les-Monts,11.2,12.0,29080.0,4.7,45.03,9.2,0.0,0,0,100,8.79,14.21
62,Dijon,21223,Daix,13.2,4.8,33340.0,5.8,129.58,11.1,29.2,0,0,100,5.45,10.93
63,Dijon,21166,Chenôve,11.9,6.9,18650.0,8.3,1952.03,11.4,141.3,0,0,100,4.18,8.07
64,Dijon,21263,Fénay,10.1,3.9,27260.0,6.2,161.62,8.8,15.3,0,0,100,11.39,17.11
65,Dijon,21270,Flavignerot,11.2,4.5,27110.0,4.5,35.4,3.7,0.0,0,0,100,11.86,17.8
66,Dijon,21278,Fontaine-lès-Dijon,13,6.4,28750.0,6.5,1966.0,9.7,34.5,0,0,100,5.15,10.88
67,Dijon,21315,Hauteville-lès-Dijon,11.4,4.0,31780.0,6.4,135.22,7.3,22.6,0,0,100,8.41,16.57
68,Dijon,21355,Longvic,12.4,5.0,21840.0,8.4,818.49,14.3,84.5,0,0,100,4.5,8.35
69,Dijon,21003,Ahuy,12.6,3.8,26760.0,7.0,247.5,16.3,32.9,0,0,100,9.29,17.16
70,Dijon,21390,Marsannay-la-Côte,12.1,5.6,23980.0,6.9,414.77,8.6,48.2,0,0,100,6.07,10.41
71,Dijon,21452,Neuilly-Crimolois,11.4,4.6,23690.0,6.7,383.66,8.4,43.3,0,0,100,323.19,194.71
72,Dijon,21473,Ouges,10.1,4.4,25500.0,34.5,132.56,9.0,19.7,0,0,100,8.82,14.75
73,Dijon,21481,Perrigny-lès-Dijon,12.9,4.0,25290.0,6.9,335.67,14.9,40.3,0,0,100,6.7,12.78
74,Dijon,21485,Plombières-lès-Dijon,11,8.8,23480.0,7.6,155.43,9.2,117.1,0,0,100,6.64,12.96
75,Dijon,21515,Quetigny,13.3,3.5,22670.0,9.4,1081.59,9.6,69.9,0,0,100,5.66,10.32
76,Dijon,21540,Saint-Apollinaire,13.6,3.8,25330.0,7.8,734.31,14.1,46.9,0,0,100,5.03,10.29
77,Dijon,21605,Sennecey-lès-Dijon,11.4,2.2,25280.0,7.5,601.47,4.3,40.1,0,0,100,6.88,11.63
78,Dijon,21617,Talant,12.6,5.7,23800.0,7.0,2427.35,10.8,116.3,0,0,100,4.14,9.67
79,Dijon,21370,Magny-sur-Tille,11.4,2.9,26450.0,8.0,83.3,3.9,26.7,0,0,100,14.7,19.62
80,Dijon,21231,Dijon,12.3,7.4,22720.0,18.7,3944.21,22.9,81.8,1,0,100,,
81,Grenoble,38057,Bresson,12.5,4.8,34920.0,6.1,238.21,9.7,26.8,0,0,170,,
82,Grenoble,38068,Champagnier,13.3,4.5,31460.0,4.6,213.03,11.5,11.7,0,0,170,13.13,16.2
83,Grenoble,38111,Claix,12.8,3.9,29740.0,5.6,326.1,7.3,33.3,0,0,170,11.24,15.47
84,Grenoble,38059,Brié-et-Angonnes,14.9,4.9,32620.0,5.6,259.9,9.6,10.0,0,0,170,10.14,19.17
85,Grenoble,38150,Domène,12.7,5.4,24200.0,7.8,1267.92,13.2,46.6,0,0,170,13.21,19.94
86,Grenoble,38151,Échirolles,13,6.1,19930.0,9.4,4664.43,13.5,156.9,0,0,170,4.31,9.48
87,Grenoble,38158,Eybens,13.3,6.1,25120.0,7.8,2216.44,8.3,81.1,0,0,170,5.03,11.86
88,Grenoble,38126,Corenc,13.8,6.8,37560.0,5.5,636.77,9.5,19.0,0,0,170,6.51,13.58
89,Grenoble,38170,Fontanil-Cornillon,13.5,6.7,27990.0,5.8,619.09,15.1,26.7,0,0,170,11.86,16.23
90,Grenoble,38179,Gières,15.6,6.3,26010.0,16.0,1037.83,23.2,37.7,0,0,170,8.87,14.79
91,Grenoble,38185,Grenoble,13,12.7,22140.0,18.3,8700.39,22.1,98.3,1,0,170,,
92,Grenoble,38187,Le Gua,10.2,16.8,26220.0,6.0,64.49,9.5,13.7,0,0,170,506.59,340.19
93,Grenoble,38188,Herbeys,14.2,8.0,32700.0,4.0,178.96,6.8,13.1,0,0,170,8.74,17.27
94,Grenoble,38200,Jarrie,11.9,7.1,28430.0,5.2,293.46,8.1,23.3,0,0,170,11.4,21.17
95,Grenoble,38071,Champ-sur-Drac,11.4,5.1,24940.0,6.3,375.17,13.1,19.9,0,0,170,16.25,23.35
96,Grenoble,38235,Miribel-Lanchâtre,10.2,1.6,27470.0,4.9,46.39,9.9,0.0,0,0,170,30.52,38.13
97,Grenoble,38252,Montchaboud,12.5,3.0,29550.0,5.0,171.0,3.3,0.0,0,0,170,14.97,25.61
98,Grenoble,38258,Mont-Saint-Martin,11.9,4.7,,2.3,16.6,11.6,0.0,0,0,170,637.25,365.12
99,Grenoble,38271,Murianette,14.8,3.3,28880.0,7.4,142.13,7.7,17.4,0,0,170,11.71,20.48
100,Grenoble,38277,Notre-Dame-de-Commiers,9.6,6.9,26970.0,5.4,111.46,5.0,14.9,0,0,170,24.42,28.17
101,Grenoble,38169,Fontaine,12,8.1,20790.0,8.9,3416.57,13.1,100.5,0,0,170,4.99,10.19
102,Grenoble,38281,Noyarey,11.3,6.5,26880.0,4.9,134.73,7.7,19.1,0,0,170,16.57,18.08
103,Grenoble,38309,Poisat,15.7,5.3,28010.0,6.2,816.54,8.7,59.8,0,0,170,4.69,11.41
104,Grenoble,38317,Le Pont-de-Claix,12.3,8.1,20220.0,9.4,1929.46,13.5,110.9,0,0,170,5.79,10.87
