Unnamed..0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet,dist_metropole2,temps_transit
41,Clermont-Ferrand,63032,Beaumont,11.5,8.9,25510.0,9.3,2662.5,13.5,69.4,0,0,210,5.658,16.75,10.71,50.96666666666667
42,Clermont-Ferrand,63075,Chamalières,12.7,12.8,27630.0,7.9,4593.16,14.3,50.3,0,0,210,3.162,8.63333333333333,3.963,20.35
43,Clermont-Ferrand,63099,Châteaugay,11.2,8.6,26340.0,5.9,340.22,8.5,19.2,0,0,210,11.97,15.6833333333333,13.647,77.1
44,Clermont-Ferrand,63113,Clermont-Ferrand,11.6,8.1,20430.0,19.3,3450.28,23.1,116.6,1,0,210,0.0,0.0,,
45,Clermont-Ferrand,63070,Ceyrat,11.2,10.0,28590.0,4.7,685.27,8.4,47.1,0,0,210,9.219,19.5166666666667,14.688,52.28333333333333
46,Clermont-Ferrand,63141,Durtol,10.7,9.7,27850.0,5.2,503.75,7.1,61.4,0,0,210,3.322,7.7,3.072,30.5
47,Clermont-Ferrand,63164,Gerzat,11.2,6.1,22270.0,8.2,629.33,9.4,137.0,0,0,210,6.967,12.05,9.575,49.96666666666667
48,Clermont-Ferrand,63193,Lempdes,11.4,5.8,23620.0,10.3,704.31,12.0,49.2,0,0,210,15.26,17.2833333333333,15.612,62.06666666666667
49,Clermont-Ferrand,63254,Nohanent,10.7,6.3,27570.0,5.7,535.48,7.3,18.3,0,0,210,4.897,9.25,6.68,31.783333333333335
50,Clermont-Ferrand,63263,Orcines,9.6,8.7,29370.0,4.6,83.51,8.7,18.5,0,0,210,7.661,13.5333333333333,11.95,79.21666666666667
51,Clermont-Ferrand,63272,Pérignat-lès-Sarliève,11.2,15.6,28530.0,5.6,718.21,10.8,30.1,0,0,210,15.204,16.4,12.153,66.08333333333333
52,Clermont-Ferrand,63063,Cébazat,11.7,6.3,23990.0,5.5,894.6,9.2,74.5,0,0,210,6.635,13.6333333333333,11.758,63.56666666666667
53,Clermont-Ferrand,63307,Romagnat,10.4,7.0,25430.0,6.3,468.39,9.2,48.6,0,0,210,18.218,18.45,13.437,63.18333333333333
54,Clermont-Ferrand,63308,Royat,11.6,22.8,27950.0,7.0,667.12,13.9,76.0,0,0,210,5.003,13.1666666666667,5.595,41.88333333333333
55,Clermont-Ferrand,63345,Saint-Genès-Champanelle,10.3,8.9,27550.0,4.2,75.25,7.9,17.3,0,0,210,14.936,25.8833333333333,16.656,100.38333333333334
56,Clermont-Ferrand,63284,Pont-du-Château,9.8,6.5,24120.0,6.6,576.81,9.9,49.2,0,0,210,16.265,23.1833333333333,22.118,76.11666666666666
57,Clermont-Ferrand,63124,Cournon-d'Auvergne,11.8,5.0,23720.0,6.1,1085.65,9.4,77.7,0,0,210,16.835,21.75,16.667,71.73333333333333
58,Dijon,21105,Bressey-sur-Tille,11.4,2.1,24950.0,5.9,153.7,8.0,55.5,0,0,100,14.095,19.15,25.157,847.9333333333333
59,Dijon,21106,Bretenière,10,2.5,25070.0,6.1,152.0,7.9,9.0,0,0,100,19.799,22.0833333333333,17.992,67.4
60,Dijon,21171,Chevigny-Saint-Sauveur,12.7,3.6,23490.0,8.9,904.46,11.6,45.5,0,0,100,10.782,15.55,10.545,47.11666666666667
61,Dijon,21192,Corcelles-les-Monts,11.2,12.0,29080.0,4.7,45.03,9.2,0.0,0,0,100,11.17,20.3666666666667,13.846,55.96666666666667
62,Dijon,21223,Daix,13.2,4.8,33340.0,5.8,129.58,11.1,29.2,0,0,100,5.291,10.9,6.945,44.63333333333333
63,Dijon,21166,Chenôve,11.9,6.9,18650.0,8.3,1952.03,11.4,141.3,0,0,100,7.672,19.1333333333333,6.966,38.31666666666667
64,Dijon,21263,Fénay,10.1,3.9,27260.0,6.2,161.62,8.8,15.3,0,0,100,16.985,18.5,14.105,37.166666666666664
65,Dijon,21270,Flavignerot,11.2,4.5,27110.0,4.5,35.4,3.7,0.0,0,0,100,14.176,23.1,17.398,60.03333333333333
