"","ville_principale","Code","Libellé","loyer_m2","logements_vacants","med_revenu","jeunes","densite_pop","nouveaux_menages","beneficiaires_rsa","metropole","si_paris","temps_tgv_paris"
"57","Clermont-Ferrand","63124","Cournon-d'Auvergne","11.8","5",23720,"6.1","1085.65","9.4","77.7","0","0",210
"58","Dijon","21105","Bressey-sur-Tille","11.4","2.1",24950,"5.9","153.7","8","55.5","0","0",100
"59","Dijon","21106","Bretenière","10","2.5",25070,"6.1","152","7.9","9","0","0",100
"60","Dijon","21171","Chevigny-Saint-Sauveur","12.7","3.6",23490,"8.9","904.46","11.6","45.5","0","0",100
"61","Dijon","21192","Corcelles-les-Monts","11.2","12",29080,"4.7","45.03","9.2","0","0","0",100
"62","Dijon","21223","Daix","13.2","4.8",33340,"5.8","129.58","11.1","29.2","0","0",100
"63","Dijon","21166","Chenôve","11.9","6.9",18650,"8.3","1952.03","11.4","141.3","0","0",100
"64","Dijon","21263","Fénay","10.1","3.9",27260,"6.2","161.62","8.8","15.3","0","0",100
"65","Dijon","21270","Flavignerot","11.2","4.5",27110,"4.5","35.4","3.7","0","0","0",100
"66","Dijon","21278","Fontaine-lès-Dijon","13","6.4",28750,"6.5","1966","9.7","34.5","0","0",100
"67","Dijon","21315","Hauteville-lès-Dijon","11.4","4",31780,"6.4","135.22","7.3","22.6","0","0",100
"68","Dijon","21355","Longvic","12.4","5",21840,"8.4","818.49","14.3","84.5","0","0",100
"69","Dijon","21003","Ahuy","12.6","3.8",26760,"7","247.5","16.3","32.9","0","0",100
"70","Dijon","21390","Marsannay-la-Côte","12.1","5.6",23980,"6.9","414.77","8.6","48.2","0","0",100
"71","Dijon","21452","Neuilly-Crimolois","11.4","4.6",23690,"6.7","383.66","8.4","43.3","0","0",100
"72","Dijon","21473","Ouges","10.1","4.4",25500,"34.5","132.56","9","19.7","0","0",100
"73","Dijon","21481","Perrigny-lès-Dijon","12.9","4",25290,"6.9","335.67","14.9","40.3","0","0",100
"74","Dijon","21485","Plombières-lès-Dijon","11","8.8",23480,"7.6","155.43","9.2","117.1","0","0",100
"75","Dijon","21515","Quetigny","13.3","3.5",22670,"9.4","1081.59","9.6","69.9","0","0",100
"76","Dijon","21540","Saint-Apollinaire","13.6","3.8",25330,"7.8","734.31","14.1","46.9","0","0",100
"77","Dijon","21605","Sennecey-lès-Dijon","11.4","2.2",25280,"7.5","601.47","4.3","40.1","0","0",100
"78","Dijon","21617","Talant","12.6","5.7",23800,"7","2427.35","10.8","116.3","0","0",100
"79","Dijon","21370","Magny-sur-Tille","11.4","2.9",26450,"8","83.3","3.9","26.7","0","0",100
"80","Dijon","21231","Dijon","12.3","7.4",22720,"18.7","3944.21","22.9","81.8","1","0",100
"81","Grenoble","38057","Bresson","12.5","4.8",34920,"6.1","238.21","9.7","26.8","0","0",170
"82","Grenoble","38068","Champagnier","13.3","4.5",31460,"4.6","213.03","11.5","11.7","0","0",170
"83","Grenoble","38111","Claix","12.8","3.9",29740,"5.6","326.1","7.3","33.3","0","0",170
"84","Grenoble","38059","Brié-et-Angonnes","14.9","4.9",32620,"5.6","259.9","9.6","10","0","0",170
"85","Grenoble","38150","Domène","12.7","5.4",24200,"7.8","1267.92","13.2","46.6","0","0",170
"86","Grenoble","38151","Échirolles","13","6.1",19930,"9.4","4664.43","13.5","156.9","0","0",170
"87","Grenoble","38158","Eybens","13.3","6.1",25120,"7.8","2216.44","8.3","81.1","0","0",170
"88","Grenoble","38126","Corenc","13.8","6.8",37560,"5.5","636.77","9.5","19","0","0",170
"89","Grenoble","38170","Fontanil-Cornillon","13.5","6.7",27990,"5.8","619.09","15.1","26.7","0","0",170
"90","Grenoble","38179","Gières","15.6","6.3",26010,"16","1037.83","23.2","37.7","0","0",170
"91","Grenoble","38185","Grenoble","13","12.7",22140,"18.3","8700.39","22.1","98.3","1","0",170
"92","Grenoble","38187","Le Gua","10.2","16.8",26220,"6","64.49","9.5","13.7","0","0",170
"93","Grenoble","38188","Herbeys","14.2","8",32700,"4","178.96","6.8","13.1","0","0",170
"94","Grenoble","38200","Jarrie","11.9","7.1",28430,"5.2","293.46","8.1","23.3","0","0",170
"95","Grenoble","38071","Champ-sur-Drac","11.4","5.1",24940,"6.3","375.17","13.1","19.9","0","0",170
"96","Grenoble","38235","Miribel-Lanchâtre","10.2","1.6",27470,"4.9","46.39","9.9","0","0","0",170
"97","Grenoble","38252","Montchaboud","12.5","3",29550,"5","171","3.3","0","0","0",170
"98","Grenoble","38258","Mont-Saint-Martin","11.9","4.7",NA,"2.3","16.6","11.6","0","0","0",170
"99","Grenoble","38271","Murianette","14.8","3.3",28880,"7.4","142.13","7.7","17.4","0","0",170
"100","Grenoble","38277","Notre-Dame-de-Commiers","9.6","6.9",26970,"5.4","111.46","5","14.9","0","0",170
"101","Grenoble","38169","Fontaine","12","8.1",20790,"8.9","3416.57","13.1","100.5","0","0",170
"102","Grenoble","38281","Noyarey","11.3","6.5",26880,"4.9","134.73","7.7","19.1","0","0",170
"103","Grenoble","38309","Poisat","15.7","5.3",28010,"6.2","816.54","8.7","59.8","0","0",170
"104","Grenoble","38317","Le Pont-de-Claix","12.3","8.1",20220,"9.4","1929.46","13.5","110.9","0","0",170
"105","Grenoble","38325","Proveysieux","11.9","7.9",27350,"2.7","25.34","7.3","34.7","0","0",170
"106","Grenoble","38328","Quaix-en-Chartreuse","11.4","6.3",31990,"4.7","50.17","7.2","8.8","0","0",170
"107","Grenoble","38364","Saint-Barthélemy-de-Séchilienne","11.4","12.8",26140,"3.5","35.21","10.9","18","0","0",170
"108","Grenoble","38382","Saint-Égrève","12.2","5.4",25910,"5.9","1559.17","10.9","64.8","0","0",170
"109","Grenoble","38388","Saint-Georges-de-Commiers","11.4","5.1",27370,"5","181.23","8.8","6.2","0","0",170
"110","Grenoble","38421","Saint-Martin-d'Hères","12.7","5.8",21160,"23.5","4134.84","20.7","70","0","0",170
"111","Grenoble","38423","Saint-Martin-le-Vinoux","13","8.5",24020,"8.6","576.73","15.4","68.4","0","0",170
"112","Grenoble","38436","Saint-Paul-de-Varces","12.5","1.3",30530,"4.7","112.89","6","7.8","0","0",170
"113","Grenoble","38445","Saint-Pierre-de-Mésage","11.4","8.9",26760,"4.7","113","6.1","10.8","0","0",170
"114","Grenoble","38471","Le Sappey-en-Chartreuse","13.4","9.9",31410,"4.7","75.3","12.3","13.9","0","0",170
"115","Grenoble","38472","Sarcenas","11.4","1.8",30770,"4.5","31.03","6.2","0","0","0",170
"116","Grenoble","38474","Sassenage","13.1","5.6",25750,"7.7","876.69","8.9","51.3","0","0",170
"117","Grenoble","38478","Séchilienne","10.6","12.9",24000,"4.9","47.63","6.5","15.9","0","0",170
"118","Grenoble","38485","Seyssinet-Pariset","13.1","6.7",24820,"7.7","1098.41","11.3","49.5","0","0",170
"119","Grenoble","38486","Seyssins","14.1","4",29300,"5.7","999.62","9.5","37.6","0","0",170
"120","Grenoble","38516","La Tronche","14.1","11.6",30000,"16.4","1010.94","17.8","48.4","0","0",170
"121","Grenoble","38524","Varces-Allières-et-Risset","15.1","6.1",26780,"16.9","396.51","11.1","26.6","0","0",170
"122","Grenoble","38528","Vaulnaveys-le-Bas","12.5","5.1",28710,"5.1","114.29","12.7","17.9","0","0",170
